uniqueName,superclasses,subclasses,description
USER DEFINED NOMENCLATURE,NOMENCLATURE,,A &lt;USER DEFINED NOMENCLATURE&gt; is a &lt;NOMENCLATURE&gt; which may be used for any other data field in the data documentation format where the user finds it necessary
COMPANY SPECIFIC NOMENCLATURE,NOMENCLATURE,,A &lt;COMPANY SPECIFIC NOMENCLATURE&gt; is a &lt;NOMENCLATURE&gt; controlled by a company
MONTHLY PRODUCTION REPORT NOMENCLATURE,NOMENCLATURE,,A &lt;MONTHLY PRODUCTION REPORT NOMENCLATURE&gt; is a &lt;NOMENCLATURE&gt; that is used in a project monthly production report
CODE LIST,NOMENCLATURE,,A &lt;CODE LIST&gt; is a &lt;NOMENCLATURE&gt; that defines a list of codes
SHARECAT NOMENCLATURE,NOMENCLATURE,,A &lt;SHARECAT NOMENCLATURE&gt; is a &lt;NOMENCLATURE&gt; that is used by Sharecat
STATUS CODE LIST,NOMENCLATURE,,A &lt;STATUS CODE LIST&gt; is a &lt;NOMENCLATURE&gt; that lists strings that are valid status codes for a particular purpose
OVERHEAD SYSTEM,SYSTEM,,"An &lt;OVERHEAD SYSTEM&gt; is a &lt;SYSTEM&gt; that is situated at the top of a distillation column to split the vapour top stream in a reflux stream and a top product stream. Typically it consists of a condenser, storage vessel, piping and control equipment"
PACKAGING SYSTEM,SYSTEM,,"A &lt;PACKAGING SYSTEM&gt; is a &lt;SYSTEM&gt; for the preparation of goods for transport, warehousing, logistics, sale, and end use"
pipeline,PIPELINE,,"A fluid conductor that consists of pipe, possibly also including pumps, valves, and control devices, intended for conveying liquids, gases, or finely divided solids"
RIGID PIPELINE,PIPELINE,,A &lt;RIGID PIPELINE&gt; is an &lt;ARTEFACT&gt; and  a &lt;PIPELINE&gt; that is assembled from rigid pipes
FLEXIBLE PIPELINE,PIPELINE,,A &lt;FLEXIBLE PIPELINE&gt; is an &lt;ARTEFACT&gt; and  a &lt;PIPELINE&gt; thay is assembled from flexible pipes
PIPELINE BUNDLE,PIPELINE,,A &lt;PIPELINE BUNDLE&gt; is an &lt;ARTEFACT&gt; and  a &lt;PIPELINE&gt; that is an assembly of parallel pipelines. Can also contain cables or umbilicals
GAS EXPORT PIPELINE,PIPELINE,,A &lt;GAS EXPORT PIPELINE&gt; is an &lt;ARTEFACT&gt; and  a &lt;PIPELINE&gt; that is intended for transferring treated gas from a production facility to receiving facility
LIQUID EXPORT PIPELINE,PIPELINE,,A &lt;LIQUID EXPORT PIPELINE&gt; is an &lt;ARTEFACT&gt; and  a &lt;PIPELINE&gt; that is intended for transferring treated liquid from a production facility to receiving facility
FLOWLINE,PIPELINE,,"A &lt;FLOWLINE&gt; is an &lt;ARTEFACT&gt; and  a &lt;PIPELINE&gt; carrying oil, gas or water that connects the wellhead to a manifold or to production facilities, such as heater-treaters and separators"
SUBSEA FLOWLINE,PIPELINE,,"A &lt;SUBSEA FLOWLINE&gt; is an &lt;ARTEFACT&gt; and  a &lt;PIPELINE&gt; located on the seabed which is intended to carry a hydrocarbon fluid between a subsea well and a subsea terminal, such as a riser base"
PLANT TRAIN,SYSTEM,,A &lt;PLANT TRAIN&gt; is a &lt;SYSTEM&gt; that is one of a set of parallel operating identical &lt;SYSTEM&gt;s in a &lt;PLANT&gt;
POSITIONING SYSTEM,SYSTEM,positioning system,"A &lt;POSITIONING SYSTEM&gt; is a &lt;SYSTEM&gt; with, as user interface, handheld or fixed device designed to identify and record the location of an object on the earth&#39;s surface. GPS, GALILEO, SYLEDIS, HYPERFIX, LORAN-C, DECCA etc. are all brands and working on different networks"
positioning system,POSITIONING SYSTEM,,"A handheld or fixed device designed to identify and record the location of an object on the earth&amp;amp;#39;s surface. GPS, GALILEO, SYLEDIS, HYPERFIX, LORAN-C, DECCA etc. are all brands and working on different networks"
PROCESS ISOLATION SYSTEM,SYSTEM,,&lt;PROCESS ISOLATION SYSTEM&gt; is &lt;SYSTEM&gt; that is capable of &lt;ISOLATING&gt; (part of) a &lt;FACILITY&gt; containing hazardous material in order  to mitigate a release of hazardous material when there has been loss of containment.
PROPULSION SYSTEM,SYSTEM,"TWR PROPULSION SYSTEM, THRUSTER",A &lt;PROPULSION SYSTEM&gt; is a &lt;SYSTEM&gt; intended for propulsion
THRUSTER,PROPULSION SYSTEM,,A &lt;THRUSTER&gt; is an &lt;ARTEFACT&gt; and a &lt;PROPULSION SYSTEM&gt; that includes a water jet or propeller used on vessels intended to provide a means to move the vessel sideways for maintaining the vessels position without anchors
TWR PROPULSION SYSTEM,PROPULSION SYSTEM,,A &lt;TWR PROPULSION SYSTEM&gt; is a &lt;PROPULSION SYSTEM&gt; for a TWR
PUBLIC ADDRESS SYSTEM,SYSTEM,PUBLIC ADDRESS AND ALARM SYSTEM,A &lt;PUBLIC ADDRESS SYSTEM&gt; is a &lt;SYSTEM&gt; that is a sound-reproducing system for large space and outdoor use
QUENCH SYSTEM,SYSTEM,"WATER QUENCH SYSTEM, GAS QUENCH SYSTEM",A &lt;QUENCH SYSTEM&gt; is a &lt;SYSTEM&gt; intended to cool down a process
GAS QUENCH SYSTEM,QUENCH SYSTEM,,A &lt;GAS QUENCH SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;QUENCH SYSTEM&gt; that makes use of a gas
WATER QUENCH SYSTEM,QUENCH SYSTEM,,A &lt;WATER QUENCH SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;QUENCH SYSTEM&gt; where water is used as cooling medium
ROTATING EQUIPMENT SYSTEM,SYSTEM,"COMPRESSOR SYSTEM, EXPANDER SYSTEM, TURBINE SYSTEM, TRANSMISSION SYSTEM",A &lt;ROTATING EQUIPMENT SYSTEM&gt; is a &lt;SYSTEM&gt; using rotating equipment as main equipment
TRANSMISSION SYSTEM,ROTATING EQUIPMENT SYSTEM,,"A &lt;TRANSMISSION SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;ROTATING EQUIPMENT SYSTEM&gt; intended to transmit power from the driver shaft onto the driven equipment shaft either or not at the same speed and related torque, by means of an assembly of transmission components and auxiliaries"
EXPANDER SYSTEM,ROTATING EQUIPMENT SYSTEM,,An &lt;EXPANDER SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;ROTATING EQUIPMENT SYSTEM&gt; that is one or more expanders and related equipment intended to generate power by the process of gas expansion
TURBINE SYSTEM,ROTATING EQUIPMENT SYSTEM,,"A &lt;TURBINE SYSTEM&gt; is a &lt;TRUBINE&gt; and a &lt;ROTATING EQUIPMENT SYSTEM&gt;, consisting of one or more &lt;BARE TURBINE&gt;s and auxilliary systems and parts"
SAFETY SYSTEM,SYSTEM,"FLUID EXPANSION SYSTEM, SAFETY VENTILATION SYSTEM, PRESSURE RELIEF SYSTEM, PROTECTION SYSTEM, FIRE DETECTION SYSTEM, FIRE FIGHTING SYSTEM, GAS DETECTION SYSTEM",A &lt;SAFETY SYSTEM&gt; is a &lt;SYSTEM&gt; intended to ensure a safe situation
FLUID EXPANSION SYSTEM,SAFETY SYSTEM,,A &lt;FLUID EXPANSION SYSTEM&gt; is a &lt;SAFETY SYSTEM&gt; intended to accommodate the expansion and contraction of a fluid
FIRE DETECTION SYSTEM,SAFETY SYSTEM,,A &lt;FIRE DETECTION SYSTEM&gt; is a &lt;SAFETY SYSTEM&gt; intended to identify the existence of fire
GAS DETECTION SYSTEM,SAFETY SYSTEM,,A &lt;GAS DETECTION SYSTEM&gt; is a &lt;SAFETY SYSTEM&gt; intended to identify dangerous gas concentrations
PRESSURE RELIEF SYSTEM,SAFETY SYSTEM,,A &lt;PRESSURE RELIEF SYSTEM&gt; is a &lt;SAFETY SYSTEM&gt; intended to reduce the pressure in one or more items when pressure exceeds a predetermined value
SAFETY VENTILATION SYSTEM,"SAFETY SYSTEM, VENTILATION SYSTEM",,A &lt;SAFETY VENTILATION SYSTEM&gt; is a &lt;SAFETY SYSTEM&gt; and a &lt;VENTILATION SYSTEM&gt; intended to provide air circulation
PROTECTION SYSTEM,SAFETY SYSTEM,,"A &lt;PROTECTION SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;SAFETY SYSTEM&gt; which includes measures made and/or done to defend, guard and/or avoid from injury, danger and/or harm, or temperature loss"
FIRE FIGHTING SYSTEM,SAFETY SYSTEM,,A &lt;FIRE FIGHTING SYSTEM&gt; is a &lt;SAFETY SYSTEM&gt; intended to extinguish a fire
SEAL SUPPORT SYSTEM,SYSTEM,,A &lt;SEAL SUPPORT SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;SYSTEM&gt; that is designed to keep high process security and are developed to seal products within their emission limits. ... Main task of a seal support system is the cooling effect and a controlled lubrication of the mechanical seal faces
SEPARATION AND STABILISATION SYSTEM,SYSTEM,NORSOK SYSTEM 20,A &lt;SEPARATION AND STABILISATION SYSTEM&gt; is a &lt;SYSTEM&gt; intended to provide separation and stabilisation capabilities
NORSOK SYSTEM 20,SEPARATION AND STABILISATION SYSTEM,,A &lt;NORSOK SYSTEM 20&gt; is a &lt;SEPARATION AND STABILISATION SYSTEM&gt; as defined by NORSOK-Z-DP-002
TWIN AGENT SKID,SKID ASSEMBLY,,A &lt;TWIN AGENT SKID&gt; is a &lt;SKID ASSEMBLY&gt; that supports a Twin Agent Fire Extinguishing System (TAFES)
CENTRIFUGAL PUMP SKID,SKID ASSEMBLY,,A &lt;CENTRIFUGAL PUMP SKID&gt; is a &lt;SKID ASSEMBLY&gt; containing a centrifugal pump with motor and auxillary systems
INERGEN SKID,SKID ASSEMBLY,,An &lt;INERGEN SKID&gt; is a &lt;SKID ASSEMBLY&gt; containing the units required for operating an inergen system
WATER MIST SKID,SKID ASSEMBLY,,A &lt;WATER MIST SKID&gt; is a &lt;SKID ASSEMBLY&gt; containing the units required to operate a water mist system
FIREWATER VALVE SKID,SKID ASSEMBLY,,A &lt;FIREWATER VALVE SKID&gt; is a &lt;SKID ASSEMBLY&gt; containing valves for firewater distribution
JET WATER PUMP SKID,SKID ASSEMBLY,,A &lt;JET WATER PUMP SKID&gt; is a &lt;SKID ASSEMBLY&gt; containing the pump system for water jet
START SYSTEM,SYSTEM,"PNEUMATIC START SYSTEM, BATTERY START SYSTEM, STARTING AIR SYSTEM, HYDRAULIC START SYSTEM","A &lt;START SYSTEM&gt; is a &lt;SYSTEM&gt; intended to start a main process system like combustion in an engine, motion cycles of equipment assemblies etc"
STARTING AIR SYSTEM,START SYSTEM,,A &lt;STARTING AIR SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;START SYSTEM&gt; using pressurised air led directly into the engine cylinders to turn and start the engine
PNEUMATIC START SYSTEM,START SYSTEM,,A &lt;PNEUMATIC START SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;START SYSTEM&gt; that uses pressurized gas as a power source to start a driver
HYDRAULIC START SYSTEM,START SYSTEM,,A &lt;HYDRAULIC START SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;START SYSTEM&gt; that uses pressurized liquid as a power source to start a driver
BATTERY START SYSTEM,START SYSTEM,,A &lt;BATTERY START SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;START SYSTEM&gt; that uses electric storage batteries and motor(s) to start engines
STATIC EQUIPMENT SYSTEM,SYSTEM,,A &lt;STATIC EQUIPMENT SYSTEM&gt; is a &lt;SYSTEM&gt; using static equipment as main equipment
STEAM SYSTEM,SYSTEM,"MEDIUM PRESSURE STEAM SYSTEM, LOW PRESSURE STEAM SYSTEM, HIGH PRESSURE STEAM SYSTEM",A &lt;STEAM SYSTEM&gt; is a &lt;SYSTEM&gt; for generation and distribution of steam
HIGH PRESSURE STEAM SYSTEM,STEAM SYSTEM,,A &lt;HIGH PRESSURE STEAM SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;STEAM SYSTEM&gt; for generation and distribution of high pressure steam
MEDIUM PRESSURE STEAM SYSTEM,STEAM SYSTEM,,A &lt;MEDIUM PRESSURE STEAM SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;STEAM SYSTEM&gt; for generation and distribution of medium pressure steam
LOW PRESSURE STEAM SYSTEM,STEAM SYSTEM,,A &lt;LOW PRESSURE STEAM SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;STEAM SYSTEM&gt; for generation and distribution of low pressure steam
SUBSEA POWER UNIT,SYSTEM,ELECTRICAL SUBSEA POWER UNIT,A &lt;SUBSEA POWER UNIT&gt; is an &lt;ARTEFACT&gt; and a &lt;SYSTEM&gt;  that provides power to the topside and/or subsea components of subsea installations
ELECTRICAL SUBSEA POWER UNIT,SUBSEA POWER UNIT,,An &lt;ELECTRICAL SUBSEA POWER UNIT&gt; is a &lt;SUBSEA POWER UNIT&gt; that provides conditioned electrical power
SUBSEA PRODUCTION SYSTEM,SYSTEM,,"A &lt;SUBSEA PRODUCTION SYSTEM&gt; is a &lt;SYSTEM&gt; that comprises several subsystems necessary to produce hydrocarbons from one or more subsea wells and transfer them to a given processing facility located offshore (fixed, floating or subsea) or onshore, or to inject water/gas through subsea wells"
TRACKING SYSTEM,"SYSTEM, TRACKER",AUTOMATIC IDENTIFICATION SYSTEM,A &lt;TRACKING SYSTEM&gt; is a &lt;SYSTEM&gt; and a &lt;TRACKER&gt; is used for the observing of persons or objects on the move and supplying a timely ordered sequence of location data for further processing
AUTOMATIC IDENTIFICATION SYSTEM,TRACKING SYSTEM,,"An &lt;AUTOMATIC IDENTIFICATION SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;TRACKING SYSTEM&gt; that uses transponders on ships and is used by vessel traffic services (VTS). When satellites are used to detect AIS signatures. AIS information supplements marine radar, which continues to be the primary method of collision avoidance for water transport"
TRANSPORT SYSTEM,SYSTEM,"LOADING-UNLOADING SYSTEM, SOLID MATERIALS HANDLING SYSTEM, MOBILE TRANSPORT SYSTEM, STATIONARY TRANSPORT SYSTEM","A &lt;TRANSPORT SYSTEM&gt; is a &lt;SYSTEM&gt; intended to transport, store or load/unload material"
LOADING-UNLOADING SYSTEM,TRANSPORT SYSTEM,,"A &lt;LOADING-UNLOADING SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;TRANSPORT SYSTEM&gt; that is intended for loading and/or unloading products into/from vehicles, wagons or vessels"
SOLID MATERIALS HANDLING SYSTEM,TRANSPORT SYSTEM,,A &lt;SOLID MATERIALS HANDLING SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;TRANSPORT SYSTEM&gt; that is intended to handle solid material
STATIONARY TRANSPORT SYSTEM,TRANSPORT SYSTEM,,"A &lt;STATIONARY TRANSPORT SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;TRANSPORT SYSTEM&gt; that, as a whole, remains in one place"
MOBILE TRANSPORT SYSTEM,TRANSPORT SYSTEM,,A &lt;MOBILE TRANSPORT SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;TRANSPORT SYSTEM&gt; that is mobile
TRANSPORTATION AND PACKING SYSTEM,SYSTEM,"LIQUID PACKING SYSTEM, BULK PACKING SYSTEM, CHEMICAL AND CATALYST HANDLING SYSTEM, OREDA MATERIAL HANDLING SYSTEM, CONVEYOR BELT SYSTEM",A &lt;TRANSPORTATION AND PACKING SYSTEM&gt; is a &lt;SYSTEM&gt; which comprises all installations that serve the transportation of stock or products from/to process area to from/to storage area inside plant limits as well as all product packing systems prior to dispatch
CONVEYOR BELT SYSTEM,TRANSPORTATION AND PACKING SYSTEM,,A &lt;CONVEYOR BELT SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;TRANSPORTATION AND PACKING SYSTEM&gt; for solid products or general bulks which require a conveyor belt system to their point of packing and/or storage
CHEMICAL AND CATALYST HANDLING SYSTEM,TRANSPORTATION AND PACKING SYSTEM,,A &lt;CHEMICAL AND CATALYST HANDLING SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;TRANSPORTATION AND PACKING SYSTEM&gt; for chemicals and catalysts
BULK PACKING SYSTEM,TRANSPORTATION AND PACKING SYSTEM,,A &lt;BULK PACKING SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;TRANSPORTATION AND PACKING SYSTEM&gt; that wraps the products with some kind of transport security material
LIQUID PACKING SYSTEM,TRANSPORTATION AND PACKING SYSTEM,,A &lt;LIQUID PACKING SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;TRANSPORTATION AND PACKING SYSTEM&gt; that puts liquid into various types of vessels
OREDA MATERIAL HANDLING SYSTEM,TRANSPORTATION AND PACKING SYSTEM,,An &lt;OREDA MATERIAL HANDLING SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;TRANSPORTATION AND PACKING SYSTEM&gt; that handles materials as defined by the Oreda project organization
VENTILATION SYSTEM,SYSTEM,"HVAC SYSTEM, SAFETY VENTILATION SYSTEM, FORCED VENTILATION SYSTEM, ATMOSPHERIC VENTILATION SYSTEM, FLARE VENT AND BLOWDOWN SYSTEM",A &lt;VENTILATION SYSTEM&gt; is a &lt;SYSTEM&gt; which provides ventilation
ATMOSPHERIC VENTILATION SYSTEM,VENTILATION SYSTEM,,An &lt;ATMOSPHERIC VENTILATION SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;VENTILATION SYSTEM&gt; that provides atmospheric ventilation
FORCED VENTILATION SYSTEM,VENTILATION SYSTEM,,A &lt;FORCED VENTILATION SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;VENTILATION SYSTEM&gt; that provides forced ventilation
VESSEL SYSTEM,SYSTEM,,A &lt;VESSEL SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;SYSTEM&gt; in which the main component is a vessel
WASTE DISPOSAL SYSTEM,SYSTEM,"SHALE DISPOSAL SYSTEM, WASHING SYSTEM, SEWAGE SYSTEM, DRAIN SYSTEM, BALLAST WATER SYSTEM, OILY WATER TREATMENT SYSTEM","A &lt;WASTE DISPOSAL SYSTEM&gt; is a &lt;SYSTEM&gt; intended for disposal of damaged, defective, or superfluous material produced by a manufacturing process or unwanted by-product of a manufacturing or chemical process, or refuse from places of human or animal habitation"
OILY WATER TREATMENT SYSTEM,WASTE DISPOSAL SYSTEM,,An &lt;OILY WATER TREATMENT SYSTEM&gt; is a &lt;WATER SYSTEM&gt; and a &lt;WASTE DISPOSAL SYSTEM&gt; that is a waste disposal system capable of treatment of oily water from various sources in the production of oil and gas
SHALE DISPOSAL SYSTEM,WASTE DISPOSAL SYSTEM,,A &lt;SHALE DISPOSAL SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;WASTE DISPOSAL SYSTEM&gt; for separation and storage of shale
SEWAGE SYSTEM,WASTE DISPOSAL SYSTEM,,"A &lt;SEWAGE SYSTEM&gt; is a &lt;WATER SYSTEM&gt; and a &lt;WASTE DISPOSAL SYSTEM&gt; that is a waste disposal system capable of collecting, treating and dispose of sewage"
BALLAST WATER SYSTEM,WASTE DISPOSAL SYSTEM,,A &lt;BALLAST WATER SYSTEM&gt; is a &lt;WATER SYSTEM&gt; and a &lt;WASTE DISPOSAL SYSTEM&gt; for handling of ballast water
DRAIN SYSTEM,"WASTE DISPOSAL SYSTEM, FLUID TRANSPORTER",,A &lt;DRAIN SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;WASTE DISPOSAL SYSTEM&gt; and a &lt;FLUID TRANSPORTER&gt; designed to collect the wash water from plant surface areas which need to be subject tor further effluent treatment before redischarge
WASHING SYSTEM,WASTE DISPOSAL SYSTEM,,A &lt;WASHING SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;WASTE DISPOSAL SYSTEM&gt; intended to wash and clean whats necesarry
WELL ASSEMBLY,SYSTEM,"SATELLITE WELL ASSEMBLY, SUBSEA WELL ASSEMBLY, MULTILATERAL WELL ASSEMBLY, SURFACE WELL ASSEMBLY, HORIZONTAL CHRISTMAS TREE WELL ASSEMBLY, MULTIZONE WELL ASSEMBLY, ARTIFICIAL LIFT WELL ASSEMBLY, VERTICAL CHRISTMAS TREE WELL ASSEMBLY, INTELLIGENT WELL ASSEMBLY, TEMPLATE WELL ASSEMBLY",A &lt;WELL ASSEMBLY&gt; is an &lt;ARTEFACT&gt; and a &lt;SYSTEM&gt; that is an assembly of equipment for the exploitation of underground resources
MULTILATERAL WELL ASSEMBLY,WELL ASSEMBLY,,A &lt;MULTILATERAL WELL ASSEMBLY&gt; is a &lt;WELL ASSEMBLY&gt; and a main bore and one or more bores branching out from the main bore
MULTIZONE WELL ASSEMBLY,WELL ASSEMBLY,,A &lt;MULTIZONE WELL ASSEMBLY&gt; is a &lt;WELL ASSEMBLY&gt; that is arranged to produce from more than one pay zone or formation
SATELLITE WELL ASSEMBLY,WELL ASSEMBLY,,A &lt;SATELLITE WELL ASSEMBLY&gt; is a &lt;WELL ASSEMBLY&gt; that is a stand-alone installation
TEMPLATE WELL ASSEMBLY,WELL ASSEMBLY,,A &lt;TEMPLATE WELL ASSEMBLY&gt; is a &lt;WELL ASSEMBLY&gt; that is located on a template grouped with other well assemblies
VERTICAL CHRISTMAS TREE WELL ASSEMBLY,WELL ASSEMBLY,,A &lt;VERTICAL CHRISTMAS TREE WELL ASSEMBLY&gt; is a &lt;WELL ASSEMBLY&gt; with a vertical (conventional) christmas tree
HORIZONTAL CHRISTMAS TREE WELL ASSEMBLY,WELL ASSEMBLY,,A &lt;HORIZONTAL CHRISTMAS TREE WELL ASSEMBLY&gt; is a &lt;WELL ASSEMBLY&gt; with a horizontal christmas tree
SUBSEA WELL ASSEMBLY,WELL ASSEMBLY,,A &lt;SUBSEA WELL ASSEMBLY&gt; is a &lt;WELL ASSEMBLY&gt; ocated under a body of water
SURFACE WELL ASSEMBLY,WELL ASSEMBLY,,A &lt;SURFACE WELL ASSEMBLY&gt; is a &lt;WELL ASSEMBLY&gt; located on dry land
INTELLIGENT WELL ASSEMBLY,WELL ASSEMBLY,,An &lt;INTELLIGENT WELL ASSEMBLY&gt; is a &lt;WELL ASSEMBLY&gt; that includes equipment for intelligent control of the well
ARTIFICIAL LIFT WELL ASSEMBLY,WELL ASSEMBLY,,An &lt;ARTIFICIAL LIFT WELL ASSEMBLY&gt; is a &lt;WELL ASSEMBLY&gt; having equipment to help obtaining the fluid from the well
WELL CLUSTER,SYSTEM,,A &lt;WELL CLUSTER&gt; is an &lt;ARTEFACT&gt; and a &lt;SYSTEM&gt; that consists of a number of individual wells making up or considered a unit
WELL DRILLING SYSTEM,SYSTEM,"TOP DRIVE DRILLING SYSTEM, ROTARY TABLE DRILLING SYSTEM",A &lt;WELL DRILLING SYSTEM&gt; is a &lt;SYSTEM&gt; that has a capability of &lt;DRILLING&gt; holes in the earth&amp;#39;s crust for the creation of a &lt;WELL&gt;
TOP DRIVE DRILLING SYSTEM,WELL DRILLING SYSTEM,,A &lt;TOP DRIVE DRILLING SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;WELL DRILLING SYSTEM&gt; in which the motor which turns the drill string is connected to the upper end of the string and moves downwardly with the drill string during the drilling operation
ROTARY TABLE DRILLING SYSTEM,WELL DRILLING SYSTEM,,A &lt;ROTARY TABLE DRILLING SYSTEM&gt; is an &lt;ARTEFACT&gt; and a &lt;WELL DRILLING SYSTEM&gt; in which the torque is transferred to the drill string using rotary table and kelly
WELLBORE ASSEMBLY,SYSTEM,,"A &lt;WELLBORE ASSEMBLY&gt; is an &lt;ARTEFACT&gt; and a &lt;SYSTEM&gt; that is a wellbore completed with structures (casing, lining etc.)"
WIRELINE UNIT,SYSTEM,,"A &lt;WIRELINE UNIT&gt; is an &lt;ARTEFACT&gt; and a &lt;SYSTEM&gt; that operates a &lt;WIRELINE&gt; that is used to deploy various down-hole tools into a well, where a cable on a reel on the surface is used to lower the tools to the wellbore"
WORK CENTER,SYSTEM,"PROCESS CELL ISA95, PRODUCTION LINE ISA95, WORK CELL ISA95, PRODUCTION UNIT ISA95, WORK UNIT ISA88",A &lt;WORK CENTER&gt; is a &lt;SYSTEM&gt; and machines and equipment in a location in which work is accomplished
WORK UNIT ISA88,WORK CENTER,,A &lt;WORK UNIT ISA88&gt; is an &lt;ARTEFACT&gt; and a &lt;WORK CENTER&gt; that is made up of equipment modules and control modules
PROCESS CELL ISA95,WORK CENTER,,A &lt;PROCESS CELL ISA95&gt; is an &lt;ARTEFACT&gt; and a &lt;WORK CENTER&gt; that is a logical grouping of equipment that includes the equipment required for production of one or more batches. It defines the span of logical control of one set of process equipment within an area
PRODUCTION UNIT ISA95,WORK CENTER,,"A &lt;PRODUCTION UNIT ISA95&gt; is an &lt;ARTEFACT&gt; and a &lt;WORK CENTER&gt; that is a set of production equipment that converts, separates, or reacts one or more feedstocks to produce intermediate or final products"
WORK CELL ISA95,WORK CENTER,,A &lt;WORK CELL ISA95&gt; is an &lt;ARTEFACT&gt; and a &lt;WORK CENTER&gt; that is dissimilar machines grouped together to produce a family of parts having similar manufacturing requirements
PRODUCTION LINE ISA95,WORK CENTER,,A &lt;PRODUCTION LINE ISA95&gt;  is an &lt;ARTEFACT&gt; and a &lt;WORK CENTER&gt; that is a series of pieces of equipment dedicated to the manufacture of a specific number of products or families
regenerative,SYSTEM,,cycle pick-list value value - regenerative cycle
simple,SYSTEM,,cycle pick-list value value - simple cycle
TAGGED OBJECT,,,An &amp;#39;ISO 15926-4 functional object&amp;#39; that is identified using a tagged object identification schema
TERMINATOR,,"PIPING NETWORK TERMINATOR, CABLE TERMINATOR",A &lt;TERMINATOR&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;TERMINATING&gt; something
CABLE TERMINATOR,TERMINATOR,"SLIP-ON TERMINATION, TERMINATION PANEL, TERMINAL END, SHRINKABLE TERMINATION, SEALING END, PLUG-IN TERMINATOR",A &lt;CABLE TERMINATOR&gt; is an &lt;ARTEFACT&gt; and a &lt;TERMINATOR&gt; fitted to the end of a cable to ensure electrical connection with other parts of the system and to maintain the insulation up to the point of connection
TERMINAL END,CABLE TERMINATOR,,A &lt;TERMINAL END&gt; is a &lt;CABLE TERMINATOR&gt; where a cable core is prepared for attachment to a terminal
TERMINATION PANEL,CABLE TERMINATOR,,A &lt;TERMINATION PANEL&gt; is a &lt;CABLE TERMINATOR&gt; intended for the termination of cables
SHRINKABLE TERMINATION,CABLE TERMINATOR,,A &lt;SHRINKABLE TERMINATION&gt; is a &lt;CABLE TERMINATOR&gt; that is prefabricated and designed to be shrunk on to a prepared cable end
SLIP-ON TERMINATION,CABLE TERMINATOR,,A &lt;SLIP-ON TERMINATION&gt; is a &lt;CABLE TERMINATOR&gt; that is prefabricated and designed to be slipped on to a prepared cable end
SEALING END,CABLE TERMINATOR,,"A &lt;SEALING END&gt; is a &lt;CABLE TERMINATOR&gt; providing a seal to the end of the cable from the external environment and maintaining the pressure, if any, of the cable system"
PLUG-IN TERMINATOR,CABLE TERMINATOR,,"A &lt;PLUG-IN TERMINATOR&gt; is a &lt;CABLE TERMINATOR&gt; permitting the connection or the disconnection of the cable to other equipment, with or without voltage, generally in the absence of load current"
PIPING NETWORK TERMINATOR,TERMINATOR,PIPELINE END TERMINAL,A &lt;PIPING NETWORK TERMINATOR&gt; is an &lt;ARTEFACT&gt; and a &lt;TERMINATOR&gt; that is a termination point of a &lt;PIPING NETWORK SYSTEM&gt;
PIPELINE END TERMINAL,PIPING NETWORK TERMINATOR,,A &lt;PIPELINE END TERMINAL&gt; is a &lt;PIPING NETWORK TERMINATOR&gt; and a &lt;SUBSEA FIXED STRUCTURE&gt; in a subsea flowline
TESTER,,"DRIFT, TEST AGENCY",A &lt;TESTER&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;TESTING&gt;
