UniqueName,SuperClass,TextDefinition
SPIRAL-BEVEL GEARBOX,CROSSED AXIS GEARBOX,A <SPIRAL-BEVEL GEARBOX> is a <CROSSED AXIS GEARBOX> where the input and output shafts normally are standing 90> deg. to each other utilizing a pinion and gear with spiral-bevel gear teeth.
SPLINE,Feature,An <SPLINE> is a <Feature> that is a number of relatively narrow key ways formed external on a shaft or internal inside the hole of a hub. Used instead of shaft key for maximum strength
SPLINED BORE COUPLING HUB,COUPLING HUB,A <SPLINED BORE COUPLING HUB> is a <COUPLING HUB> that has a splined bore
SPLINED SHAFT,SHAFT,"An <SPLINED SHAFT> is a <SHAFT> with a number of relatively narrow keys formed integral with the shaft , somewhat resembling long gear-teeth; produced by milling longitudinal grooves in the shaft."
SPLIT ENGINE BLOCK,PISTON ENGINE BLOCK,"An <SPLIT ENGINE BLOCK> is a <PISTON ENGINE BLOCK> that is split, i.e. it is made of more than one part."
SPLIT RIGID COUPLING,RIGID COUPLING,An <SPLIT RIGID COUPLING> is a <RIGID COUPLING> which is split along its horizontal centerline and the two halves are clamped together by a series of bolts arranged axially alongside the coupling.
SPLITTER GEARBOX,GEARBOX,An <SPLITTER GEARBOX> is a <GEARBOX> with one input shaft and minimum two output shafts
SPRING LOADED ACCUMULATOR,"ARTEFACT, HYDRAULIC ACCUMULATOR",An <SPRING LOADED ACCUMULATOR>> is an <ARTEFACT> and a <HYDRAULIC ACCUMULATOR> where the chock absorbing capabilities are achieved by a spring
SPRING LOADED GREASE TYPE LUBRICATOR,"ARTEFACT, LUBRICATOR",An <SPRING LOADED GREASE TYPE LUBRICATOR> is an <ARTEFACT> and a <LUBRICATOR> that supplies grease under pressure from a spring loaded piston
SPRING TORSIONAL VIBRATION DAMPER,TORSIONAL VIBRATION DAMPER,An <SPRING TORSIONAL VIBRATION DAMPER> is a <TORSIONAL VIBRATION DAMPER> where the turning mass is connected to the driver plate by means of a spring stiffness and damping
SPRINKLER VALVE SKID,FIREWATER VALVE SKID,An <SPRINKLER VALVE SKID> is a <FIREWATER VALVE SKID> for sprinkler valves.
SPUR GEAR,GEAR,A <SPUR GEAR> is a <GEAR> where the contact with the mating gear occurs along the full length of the face at the same moment in time.
SPUR GEARBOX,PARALLEL SHAFT GEARBOX,A <SPUR GEARBOX> is a <PARALLEL SHAFT GEARBOX> that contains gear-wheels with teeth parallel with the shaft axis. The contact between the mating gears occurs along the full length of the teeth-face at the same moment in time.
STABILIZER FIN,FIN,A <STABILIZER FIN> is a <FIN> that is mounted to the blades of a mixer impeller in order to increase system dampening by providing a surface area that opposes the lateral motion of the shaft and turbine
STAGE,EQUIPMENT COMPONENT,A <STAGE> is an <EQUIPMENT COMPONENT> that is that portion of a centrifugal pump or compressor consisting of one <IMPELLER> and its associated components
STAGE CASING,"ARTEFACT, CASING","A <STAGE CASING> is an <ARTEFACT> and a <CASING> in which a certain amount of impellers or wheels are present, together forming one stage, and which is coupled to one or more casings to generate the overall required pressure in case of driven equipment and power in case of a driver"
STAGE DRAIN,"ARTEFACT, DRAIN CONNECTION POINT",A <STAGE DRAIN> is an <ARTEFACT> and a <DRAIN CONNECTION POINT> intended to drain a fluid per stage
STAGGERED TYPE CASING,PUMP CASING,A <STAGGERED TYPE CASING> is a <PUMP CASING> where the volutes of a radially split multistage pump casing are orientated in opposite directions to balance out the resultant of the individual radial forces.
STAGGERED VOLUTE TYPE CASING,PUMP CASING,A <STAGGERED VOLUTE TYPE CASING> is a <PUMP CASING> where the volutes of a radially split multistage pump casing are orientated in opposite directions to balance out the resultant of the individual radial forces.
STAR ENGINE,RECIPROCATING PISTON ENGINE,A <STAR ENGINE> is a <RECIPROCATING PISTON ENGINE> with an engine block where the cylinders are placed in a star configuration.
STAR ENGINE CYLINDER BLOCK,PISTON ENGINE BLOCK,A <STAR ENGINE CYLINDER BLOCK> is a <PISTON ENGINE BLOCK> where the cylinders are placed in a star configuration.
STAR GEARBOX,EPICYCLIC GEARBOX,A <STAR GEARBOX> is an <EPICYCLIC GEARBOX> that contains a planet wheel carrier that is fixed and an internal gear that rotates integrally with the output shaft.
STARTER,FunctionalObject,A <STARTER> is a <FunctionalObject> that has the capability of <STARTING>
STARTING AIR SYSTEM,"ARTEFACT, START SYSTEM",A <STARTING AIR SYSTEM> is an <ARTEFACT> and a <START SYSTEM> using pressurised air led directly into the engine cylinders to turn and start the engine
STARTING UNIT,"ARTEFACT, STARTER",A <STARTING UNIT> is an <ARTEFACT> and a <STARTER> that is the unit intended to perform the starting of something
STATIC LABYRINTH SEAL,LABYRINTH SEAL,A <STATIC LABYRINTH SEAL> is a <LABYRINTH SEAL> that has teeth on a stationary internal
STATIONARY FACE SEAL,"ARTEFACT, SEAL",A <STATIONARY FACE SEAL> is an <ARTEFACT> and a <SEAL> that provides a leak free joint of the stationary face of a mechanical seal into the seal end plate
STATIONARY TRANSPORT SYSTEM,"ARTEFACT, TRANSPORT SYSTEM","A <STATIONARY TRANSPORT SYSTEM> is an <ARTEFACT> and a <TRANSPORT SYSTEM> that, as a whole, remains in one place"
STATOR,MACHINE COMPONENT,A <STATOR> is a <MACHINE COMPONENT> that is the arrangement of primary coils being the stator winding and being the stationary part of a machine
STATOR CAN,PUMP CAN,A <STATOR CAN> is a <PUMP CAN> that is the casing that houses the stator winding
STATOR VANE,VANE,A <STATOR VANE> is a <VANE> as part of a stator vane arrangement opposing a plurality of rotor vanes in rotating machinery
STEADY BEARING,RADIAL BEARING,A <STEADY BEARING> is a <RADIAL BEARING> that is intended to be used for relatively long shafts for mixers to reduce the drive bearing reactions and gearing deflections.
STEAM CHEST,"ARTEFACT, ENCLOSURE",A <STEAM CHEST> is an <ARTEFACT> and an <ENCLOSURE> intended to house governor valves in order to have admitted the correct steam flow to the turbine
STEAM DRIVEN DIRECT ACTING PUMP,DIRECT ACTING PUMP,A <STEAM DRIVEN DIRECT ACTING PUMP> is a <DIRECT ACTING PUMP> that is driven by pressurized steam
STEAM ENGINE,ENGINE,A <STEAM ENGINE> is an <ENGINE> powered by <STEAM>
STEAM PIPING SYSTEM,PIPING SYSTEM,A <STEAM PIPING SYSTEM> is a <PIPING SYSTEM> through which steam is transported.
STEAM STRAINER,"ARTEFACT, STRAINER",A <STEAM STRAINER> is an <ARTEFACT> and a <STRAINER> which is applied in the main inlet of a turbine
STEAM SYSTEM,SYSTEM,A <STEAM SYSTEM> is a <SYSTEM> for generation and distribution of steam
STEAM TURBINE,TURBINE,A <STEAM TURBINE> is a <TURBINE> that is a heat engine in which energy of steam is transformed into kinetic energy by means of expansion through nozzles and the kinetic energy of the resulting jet is in turn converted into force doing work on rings of blading mounted on a rotating shaft
STEAM TURBINE DIAPHRAGM,DIAPHRAGM,"A <STEAM TURBINE DIAPHRAGM> is a <DIAPHRAGM> that is a partition between pressure stages in a turbine&#39;s casing. Diaphragms hold the vane-shaped nozzles and seals between the stages. Usually labyrinth-type seals are used. One-half of the diaphragm is fitted into the top of the casing, the other half into the bottom."
STEP-DOWN GEARBOX,GEARBOX,A <STEP-DOWN GEARBOX> is a <GEARBOX> that is intended to increase torque and reduce speed
STEP-UP GEARBOX,GEARBOX,A <STEP-UP GEARBOX> is a <GEARBOX> that is intended to reduce torque and increase speed
STIRLING ENGINE,EXTERNAL COMBUSTION ENGINE,"An <STIRLING ENGINE> is an <EXTERNAL COMBUSTION ENGINE> that is a reciprocating engine consisting essentially of a cylinder with a working piston and a displacer. When the gas in the cylinder is heated it expands, driving the working piston. The displacer then transfers the gas to a cold region for cooling; it is then recompressed by the working piston and transferred by the displacer to the hot region to start the cycle again."
STRAIGHT-BEVEL GEARBOX,CROSSED AXIS GEARBOX,A <STRAIGHT-BEVEL GEARBOX> is a <CROSSED AXIS GEARBOX> where the input and output shafts normally are standing 90> deg. to each other utilizing a pinion and gear with straight-bevel gear teeth.
STRAIGHT-FLOW BACK PRESSURE STEAM TURBINE,BACK PRESSURE STEAM TURBINE,A <STRAIGHT-FLOW BACK PRESSURE STEAM TURBINE> is a <BACK PRESSURE STEAM TURBINE> where all the steam enters the turbine at one pressure level and all the steam leaves the turbine at a pressure equal to or above atmospheric pressure
STRAIGHT-FLOW CONDENSING STEAM TURBINE,CONDENSING STEAM TURBINE,A <STRAIGHT-FLOW CONDENSING STEAM TURBINE> is a <CONDENSING STEAM TURBINE> where all the steam enters the turbine at one pressure level and all the steam leaves the turbine at a pressure below atmospheric pressure
STRAIGHT-LOBE COMPRESSOR,ROTARY COMPRESSOR,A <STRAIGHT-LOBE COMPRESSOR> is a <ROTARY COMPRESSOR> in which two timed straight mating lobed rotors trap gas and carry it from inlet to discharge.
STRUCTURE(mechanical),"ARTEFACT, STRUCTURE",A <STRUCTURE(mechanical)> is an <ARTEFACT> and a <STRUCTURE> that is an arrangement and organization of interrelated <ARTEFACT>s
STUFFING BOX,"ARTEFACT, SEAL",A <STUFFING BOX> is an <ARTEFACT> and a <SEAL> that utilizes several coils of woven material pressed lightly against the rotating shaft to provide a minimal leakage path between the shaft and casing
STUFFING BOX COVER,"ARTEFACT, COVER",A <STUFFING BOX COVER> is an <ARTEFACT> and a <COVER> that is intended to serve either as covering flange to fixate and press the packing rings together or housing the mechanical seal
STUFFING BOX JACKET,JACKET,A <STUFFING BOX JACKET> is a <JACKET> that is a chamber in a stuffing box intended to circulate a cooling or heating fluid as the case may be
STUFFING BOX PACKING RING,PACKING RING,A <STUFFING BOX PACKING RING> is a <PACKING RING> that is intended to seal between a rotating or reciprocating shaft and a casing or between a valve stem and a valve body.
SUBMERSIBLE PUMP,"ARTEFACT, PUMP",A <SUBMERSIBLE PUMP> is an <ARTEFACT> and a <PUMP> that is capable of operating when submerged in the liquid it is intended to pump
SUBSEA GUIDE FUNNEL,GUIDE FUNNEL,A <SUBSEA GUIDE FUNNEL> is a <GUIDE FUNNEL> that is attached to a subsea structure to provide guidance for installing equipemnt from the surface
SUBSEA PIG LAUNCHER,"ARTEFACT, PIG LAUNCHER","A <SUBSEA PIG LAUNCHER> is an <ARTEFACT> and a <PIG LAUNCHER> located on the sebed at the end of a pipeline, usually a pipeline end terminal"
SUBSEA PIG RECEIVER,"ARTEFACT, PIG RECEIVER","A <SUBSEA PIG RECEIVER> is an <ARTEFACT> and a <PIG RECEIVER> located on the seabed at the end of a pipeline, usually a pipeline end terminal"
SUBSEA STRUCTURE,STRUCTURE(mechanical),A <SUBSEA STRUCTURE> is a <STRUCTURE(mechanical)> for use in a subsea environment
SUCTION BELL,"ARTEFACT, FLUID CONTAINER",A <SUCTION BELL> is an <ARTEFACT> and a <FLUID CONTAINER> that is the suction inlet part for the first impeller to guide the liquid to be pumped
SUCTION BOWL,PUMP BOWL,A <SUCTION BOWL> is a <PUMP BOWL> that is a special inlet casing to house an impeller and to guide a pumped liquid.
SUCTION CAN,PUMP BARREL,"A <SUCTION CAN> is a <PUMP BARREL> intended to serve as suction barrel below grade in case of a vertical pump, collecting and leading the fluid to the pump inlet."
SUCTION COVER,"ARTEFACT, COVER",A <SUCTION COVER> is an <ARTEFACT> and a <COVER> that is a removable part of a pressurized casing with a special shape suitable to serve as suction inlet
SUCTION NOZZLE,NOZZLE,A <SUCTION NOZZLE> is a <NOZZLE> that provides a suction inlet
SUCTION PIPING SYSTEM,PIPING SYSTEM,A <SUCTION PIPING SYSTEM> is a <PIPING SYSTEM> through which fluid is transported to the suction side of any piece of equipment.
SUCTION THROTTLING CONTROL SYSTEM,CAPACITY CONTROL,A <SUCTION THROTTLING CONTROL SYSTEM> is a <CAPACITY CONTROL> that enables to vary the capacity in case of centrifugal compressors by which suction throttling takes place by either a fixed orifice (permanent fixed throttling) or by closing the suction valve at inlet gradually (variable throttling) in order to reduce the inlet pressure and hence the outlet pressure with the results that the compressor capacity lowers at original outlet pressure; the valve system is activated by means of manual or automatic control on basis of pre-set positions.
SUCTION VALVE UNLOADING SYSTEM,PIPING SYSTEM,A <SUCTION VALVE UNLOADING SYSTEM> is a <PIPING SYSTEM> that is a control system that contains the manual/automatic setpoint operators in conjunction with the electronic/pneumatic control logic.
SUMP,RESERVOIR,"A <SUMP> is a <RESERVOIR> intended to collect the heavier phase, e.g holding liquid"
SUMP MOUNTED CASING,PUMP CASING,A <SUMP MOUNTED CASING> is a <PUMP CASING> that is suitable for mounting in a <SUMP>
SUMP PUMP,"ARTEFACT, PUMP",A <SUMP PUMP> is an <ARTEFACT> and a <PUMP> that is working in a <SUMP> to elevate liquid.
SUN AND PLANET GEAR,GEAR,A <SUN AND PLANET GEAR> is a <GEAR> that converts reciprocating motion to rotary motion by fixing a planet gear at the end of the reciprocating rod and a sun gear fixed at the output shaft
SUPERCHARGER,TURBOCHARGER,"A <SUPERCHARGER> is a <TURBOCHARGER> intended to pump a fuel/air mixture into the cylinders of an internal combustion engine under pressure. It is similar in purpose to a turbocharger, but differs in that the supercharger is powered by gearing (or belts) off the engine&#39;s crankshaft, while the turbocharger is powered by the pressure of exhaust gases."
SUPER-SINUS SPRING,"ARTEFACT, SPRING",A <SUPER-SINUS SPRING> is an <ARTEFACT> and a <SPRING> formed by several sinus shaped rings made of flat spring wire. The one-piece spring is endless and has a very flat characteristic
SUPER-SINUS SPRING MECHANICAL SEAL,MECHANICAL SEAL,A <SUPER-SINUS SPRING MECHANICAL SEAL> is a <MECHANICAL SEAL> where the mating ring is pressed against the primary ring by the force from a super-sinus spring.
SUPPLY GRILLE DIFFUSER,"DIFFUSER, HVAC GRILLE",An <SUPPLY GRILLE DIFFUSER> is an <HVAC GRILLE> and a <DIFFUSER> that supplies air vertically without any deflection
SUPPLY GRILLE DIFFUSER WITH BALANCING DAMPER,SUPPLY GRILLE DIFFUSER,A <SUPPLY GRILLE DIFFUSER WITH BALANCING DAMPER> is a <SUPPLY GRILLE DIFFUSER> with a balancing damper
SUPPORT COLUMN,"ARTEFACT, RISER",A <SUPPORT COLUMN> is an <ARTEFACT> and a <RISER> that is a pump riser column for the pumped liquid to be guided to the discharge in case of a vertical submerged centrifugal pump
SUPPORTING STRUCTURE,"STRUCTURE(mechanical), SUPPORT",A <SUPPORTING STRUCTURE> is a <SUPPORT> and a <STRUCTURE(mechanical)> supporting an object
SWEET SEAL OIL OUTLET,FLUID OUTLET PORT,A <SWEET SEAL OIL OUTLET> is a <FLUID OUTLET PORT> intended to drain seal oil contaminated with sweet gas
SWINGING VANE PUMP,VANE PUMP,A <SWINGING VANE PUMP> is a <VANE PUMP> utilizing swinging vanes in an eccentric rotor that move outward due to a centrifugal force to form a seal with the casing. Pumped fluid may contain gases/vapors. Capacity may be changed by change in eccentricity or speed.
SWIVEL JOINT STYLE 100,FOUR AXIS SWIVEL JOINT,A <SWIVEL JOINT STYLE 100> is a <FOUR AXIS SWIVEL JOINT>
SWIVEL JOINT STYLE 100 LONG RADIUS,SWIVEL JOINT STYLE 100,A <SWIVEL JOINT STYLE 100 LONG RADIUS> is a <SWIVEL JOINT STYLE 100> with long radius bends.
SWIVEL JOINT STYLE 100L UNION MF,SWIVEL JOINT STYLE 100 LONG RADIUS,A <SWIVEL JOINT STYLE 100L UNION MF> is a <SWIVEL JOINT STYLE 100 LONG RADIUS> and one union male end and one union female end.
SWIVEL JOINT STYLE 100L UNION MM,SWIVEL JOINT STYLE 100 LONG RADIUS,A <SWIVEL JOINT STYLE 100L UNION MM> is a <SWIVEL JOINT STYLE 100 LONG RADIUS> and two union male ends.
SWIVEL JOINT STYLE 20,SINGLE AXIS SWIVEL JOINT,A <SWIVEL JOINT STYLE 20> is a <SINGLE AXIS SWIVEL JOINT> with a straight through bore.
SWIVEL JOINT STYLE 20 BEVELLED END,SWIVEL JOINT STYLE 20,A <SWIVEL JOINT STYLE 20 BEVELLED END> is a <SWIVEL JOINT STYLE 20> with bevelled ends
SWIVEL JOINT STYLE 20 FLANGED END,SWIVEL JOINT STYLE 20,A <SWIVEL JOINT STYLE 20 FLANGED END> is a <SWIVEL JOINT STYLE 2>0 with flanged ends.
SWIVEL JOINT STYLE 20 FLANGED END C 175,SWIVEL JOINT STYLE 20 FLANGED END,A <SWIVEL JOINT STYLE 20 FLANGED END C 175> is a <SWIVEL JOINT STYLE 20 FLANGED END> rated at 175 psi cold working pressure (Chiksan)
SWIVEL JOINT STYLE 20 FLANGED END C 275,SWIVEL JOINT STYLE 20 FLANGED END,A <SWIVEL JOINT STYLE 20 FLANGED END C 275> is a <SWIVEL JOINT STYLE 20 FLANGED END> rated at 275 psi cold working pressure (Chiksan)
SWIVEL JOINT STYLE 20 THREADED END,SWIVEL JOINT STYLE 20,A <SWIVEL JOINT STYLE 20 THREADED END> is a <SWIVEL JOINT STYLE 2>0 with threaded ends.
SWIVEL JOINT STYLE 20 THREADED END C 600,SWIVEL JOINT STYLE 20 THREADED END,A <SWIVEL JOINT STYLE 20 THREADED END C 600> is a <SWIVEL JOINT STYLE 20 THREADED END> rated at 600 psi cold working pressure (Chiksan).
SWIVEL JOINT STYLE 20 THREADED END C 6000,SWIVEL JOINT STYLE 20 THREADED END,A <SWIVEL JOINT STYLE 20 THREADED END C 6000> is a <SWIVEL JOINT STYLE 20 THREADED END> rated at 6 000 psi cold working pressure (Chiksan).
SWIVEL JOINT STYLE 20 UNION END,SWIVEL JOINT STYLE 20,A <SWIVEL JOINT STYLE 20 UNION END> is a <SWIVEL JOINT STYLE 2>0 with union ends.
SWIVEL JOINT STYLE 20 UNION MF,SWIVEL JOINT STYLE 20 UNION END,A <SWIVEL JOINT STYLE 20 UNION MF> is a <SWIVEL JOINT STYLE 20 UNION END> with one union male end and one union female end.
SWIVEL JOINT STYLE 30,SINGLE AXIS SWIVEL JOINT,A <SWIVEL JOINT STYLE 30> is a <SINGLE AXIS SWIVEL JOINT> with one elbow and one nipple.
SWIVEL JOINT STYLE 30 LR BEVELLED END,SWIVEL JOINT STYLE 30A LONG,A <SWIVEL JOINT STYLE 30 LR BEVELLED END> is a <SWIVEL JOINT STYLE 30A LONG> that has bevelled ends.
SWIVEL JOINT STYLE 30 LR FLANGED END,SWIVEL JOINT STYLE 30A LONG,A <SWIVEL JOINT STYLE 30 LR FLANGED END> is a <SWIVEL JOINT STYLE 30A LONG> with flanged ends.
SWIVEL JOINT STYLE 30A LONG,SWIVEL JOINT STYLE 30,A <SWIVEL JOINT STYLE 30A LONG> is a <SWIVEL JOINT STYLE 3>0 with one long radius elbow and one nipple.
SWIVEL JOINT STYLE 30A SHORT,SWIVEL JOINT STYLE 30,A <SWIVEL JOINT STYLE 30A SHORT> is a <SWIVEL JOINT STYLE 30> with one short radius elbow and one nipple
SWIVEL JOINT STYLE 30AL THREADED END,SWIVEL JOINT STYLE 30A LONG,A <SWIVEL JOINT STYLE 30AL THREADED END> is a <SWIVEL JOINT STYLE 30A LONG> with threaded ends.
SWIVEL JOINT STYLE 30AL THREADED END C1000,SWIVEL JOINT STYLE 30AL THREADED END,A <SWIVEL JOINT STYLE 30AL THREADED END C1000> is a <SWIVEL JOINT STYLE 30AL THREADED END> rated at 1 000 psi cold working pressure (Chiksan)
SWIVEL JOINT STYLE 30AL THREADED END C6000,SWIVEL JOINT STYLE 30AL THREADED END,A <SWIVEL JOINT STYLE 30AL THREADED END C6000> is a <SWIVEL JOINT STYLE 30AL THREADED END> rated at 6 000 psi cold working pressure (Chiksan).
SWIVEL JOINT STYLE 30AL THREADED END C7500,SWIVEL JOINT STYLE 30AL THREADED END,A <SWIVEL JOINT STYLE 30AL THREADED END C7500> is a <SWIVEL JOINT STYLE 30AL THREADED END> rated at 7 500 psi cold working pressure (Chiksan)
SWIVEL JOINT STYLE 30AL UNION END,SWIVEL JOINT STYLE 30A LONG,A <SWIVEL JOINT STYLE 30AL UNION END> is a <SWIVEL JOINT STYLE 30A LONG> with union ends.
SWIVEL JOINT STYLE 30AL UNION MF,SWIVEL JOINT STYLE 30AL UNION END,A <SWIVEL JOINT STYLE 30AL UNION MF> is a <SWIVEL JOINT STYLE 30AL UNION END> with one union male end and one union female end.
SWIVEL JOINT STYLE 30AL UNION MF C7500,SWIVEL JOINT STYLE 30AL UNION MF,A <SWIVEL JOINT STYLE 30AL UNION MF C7500> is a <SWIVEL JOINT STYLE 30AL UNION M>F rated at 7 500 psi cold working pressure (Chiksan)
SWIVEL JOINT STYLE 30AS BEVELLED END,SWIVEL JOINT STYLE 30A SHORT,A <SWIVEL JOINT STYLE 30AS BEVELLED END> is a <SWIVEL JOINT STYLE 30A SHORT> with bevelled ends.
SWIVEL JOINT STYLE 30AS FLANGED END,SWIVEL JOINT STYLE 30A SHORT,A <SWIVEL JOINT STYLE 30AS FLANGED END> is a <SWIVEL JOINT STYLE 30A SHORT> with flanged ends.
SWIVEL JOINT STYLE 30AS FLANGED END C 175,SWIVEL JOINT STYLE 30AS FLANGED END,A <SWIVEL JOINT STYLE 30AS FLANGED END C 175> is a <SWIVEL JOINT STYLE 30AS FLANGED END> rated at 175 psi cold working pressure
SWIVEL JOINT STYLE 30AS FLANGED END C 275,SWIVEL JOINT STYLE 30AS FLANGED END,A <SWIVEL JOINT STYLE 30AS FLANGED END C 275> is a <SWIVEL JOINT STYLE 30AS FLANGED END> rated at 275 psi cold working pressure
SWIVEL JOINT STYLE 30AS THREADED END,SWIVEL JOINT STYLE 30A SHORT,A <SWIVEL JOINT STYLE 30AS THREADED END> is a <SWIVEL JOINT STYLE 30A SHORT> with threaded ends.
SWIVEL JOINT STYLE 30AS THREADED END C 6000,SWIVEL JOINT STYLE 30AS THREADED END,A <SWIVEL JOINT STYLE 30AS THREADED END C 6000> is a <SWIVEL JOINT STYLE 30AS THREADED END> rated at 6 000 psi cold working pressure (Chiksan).
SWIVEL JOINT STYLE 30AS UNION END,SWIVEL JOINT STYLE 30A SHORT,A <SWIVEL JOINT STYLE 30AS UNION END> is a <SWIVEL JOINT STYLE 30A SHORT> with union ends.
SWIVEL JOINT STYLE 30B LONG,SWIVEL JOINT STYLE 30,A <SWIVEL JOINT STYLE 30B LONG> is a <SWIVEL JOINT STYLE 3>0 with one long radius elbow and one nipple.
SWIVEL JOINT STYLE 30B SHORT,SWIVEL JOINT STYLE 30,A <SWIVEL JOINT STYLE 30B SHORT> is a <SWIVEL JOINT STYLE 3>0 with one short radius elbow and one nipple.
SWIVEL JOINT STYLE 30BL UNION END,SWIVEL JOINT STYLE 30B LONG,A <SWIVEL JOINT STYLE 30BL UNION END> is a <SWIVEL JOINT STYLE 30B LONG> with union ends.
SWIVEL JOINT STYLE 30BL UNION MF,SWIVEL JOINT STYLE 30BL UNION END,A <SWIVEL JOINT STYLE 30BL UNION MF> is a <SWIVEL JOINT STYLE 30BL UNION END> with one union male end and one union female end.
SWIVEL JOINT STYLE 30BS THREADED END,SWIVEL JOINT STYLE 30B SHORT,A <SWIVEL JOINT STYLE 30BS THREADED END> is a <SWIVEL JOINT STYLE 30B SHORT> with threaded ends.
SWIVEL JOINT STYLE 40,SINGLE AXIS SWIVEL JOINT,A <SWIVEL JOINT STYLE 40> is a <SINGLE AXIS SWIVEL JOINT> with two elbows.
SWIVEL JOINT STYLE 40 LR THREADED END C 1000,SWIVEL JOINT STYLE 40AL THREADED END,A <SWIVEL JOINT STYLE 40 LR THREADED END C 1000> is a <SWIVEL JOINT STYLE 40AL THREADED END> rated up to 1 000 psi cold working pressure (Chiksan)
SWIVEL JOINT STYLE 40A LONG,SWIVEL JOINT STYLE 40,A <SWIVEL JOINT STYLE 40A LONG> is a <SWIVEL JOINT STYLE 40> with long radius bends
SWIVEL JOINT STYLE 40A SHORT,SWIVEL JOINT STYLE 40,A <SWIVEL JOINT STYLE 40A SHORT> is a <SWIVEL JOINT STYLE 4>0 with short radius bends.
SWIVEL JOINT STYLE 40AL BEVELLED END,SWIVEL JOINT STYLE 40A LONG,A <SWIVEL JOINT STYLE 40AL BEVELLED END> is a <SWIVEL JOINT STYLE 40A LONG> with bevelled ends.
SWIVEL JOINT STYLE 40AL FLANGED END,SWIVEL JOINT STYLE 40A LONG,A <SWIVEL JOINT STYLE 40AL FLANGED END> is a <SWIVEL JOINT STYLE 40A LONG> with flanged ends.
SWIVEL JOINT STYLE 40AL THREADED END,SWIVEL JOINT STYLE 40A LONG,A <SWIVEL JOINT STYLE 40AL THREADED END> is a <SWIVEL JOINT STYLE 40A LONG> with threaded ends.
SWIVEL JOINT STYLE 40AL THREADED END C 7500 SOUR SERVICE,SWIVEL JOINT STYLE 40AL THREADED END,A <SWIVEL JOINT STYLE 40AL THREADED END C 7500 SOUR SERVICE> is a <SWIVEL JOINT STYLE 40AL THREADED END> rated up to 7 500 psi cold working pressure (Chiksan) and rated for sour service
SWIVEL JOINT STYLE 40AL UNION END,SWIVEL JOINT STYLE 40A LONG,A <SWIVEL JOINT STYLE 40AL UNION END> is a <SWIVEL JOINT STYLE 40A LONG> with union ends.
SWIVEL JOINT STYLE 40AL UNION MF,SWIVEL JOINT STYLE 40AL UNION END,A <SWIVEL JOINT STYLE 40AL UNION MF> is a <SWIVEL JOINT STYLE 40AL UNION END> with one male union end and one female union end.
SWIVEL JOINT STYLE 40AL UNION MF C 7500 SOUR SERVICE,SWIVEL JOINT STYLE 40AL UNION MF,A <SWIVEL JOINT STYLE 40AL UNION MF C 7500 SOUR SERVICE> is a <SWIVEL JOINT STYLE 40AL UNION M>F rated at 7 500 psi cold working pressure (Chiksan) and rated for sour service
SWIVEL JOINT STYLE 40AS BEVELLED END,SWIVEL JOINT STYLE 40A SHORT,A <SWIVEL JOINT STYLE 40AS BEVELLED END> is a <SWIVEL JOINT STYLE 40A SHORT> with bevelled ends.
SWIVEL JOINT STYLE 40AS FLANGED END,SWIVEL JOINT STYLE 40A SHORT,A <SWIVEL JOINT STYLE 40AS FLANGED END> is a <SWIVEL JOINT STYLE 40A SHORT> with flanged ends.
SWIVEL JOINT STYLE 40AS FLANGED END C 175,SWIVEL JOINT STYLE 40AS FLANGED END,A <SWIVEL JOINT STYLE 40AS FLANGED END C 175> is a <SWIVEL JOINT STYLE 40AS FLANGED END> rated at 175 psi cold working pressure (Chiksan)
SWIVEL JOINT STYLE 40AS FLANGED END C 275,SWIVEL JOINT STYLE 40AS FLANGED END,A <SWIVEL JOINT STYLE 40AS FLANGED END C 275> is a <SWIVEL JOINT STYLE 40AS FLANGED END> rated at 275 psi cold working pressure (Chiksan)
SWIVEL JOINT STYLE 40AS THREADED END,SWIVEL JOINT STYLE 40A SHORT,A <SWIVEL JOINT STYLE 40AS THREADED END> is a <SWIVEL JOINT STYLE 40A SHORT> with threaded ends.
SWIVEL JOINT STYLE 40AS THREADED END C 600,SWIVEL JOINT STYLE 40AS THREADED END,A <SWIVEL JOINT STYLE 40AS THREADED END C 600> is a <SWIVEL JOINT STYLE 40AS THREADED END> rated at 600 psi cold working pressure (Chiksan).
SWIVEL JOINT STYLE 40AS THREADED END C 6000,SWIVEL JOINT STYLE 40AS THREADED END,A <SWIVEL JOINT STYLE 40AS THREADED END C 6000> is a <SWIVEL JOINT STYLE 40AS THREADED END> rated at 6 000 psi cold working pressure (Chiksan).
SWIVEL JOINT STYLE 40AS UNION END,SWIVEL JOINT STYLE 40A SHORT,A <SWIVEL JOINT STYLE 40AS UNION END> is a <SWIVEL JOINT STYLE 40A SHORT> with union ends.
SWIVEL JOINT STYLE 40AS UNION MF,SWIVEL JOINT STYLE 40AS UNION END,A <SWIVEL JOINT STYLE 40AS UNION MF> is a <SWIVEL JOINT STYLE 40AS UNION END> with one union male end and one union female end.
SWIVEL JOINT STYLE 50,DOUBLE AXIS SWIVEL JOINT,A <SWIVEL JOINT STYLE 50> is a <DOUBLE AXIS SWIVEL JOINT> with two swivels and two elbows.
